236.5	19.830525
236.5	19.54062
236.5	19.769196
236.8	19.777562
236.8	20.134369
236.8	19.699512
236.8	19.543406
236.8	19.671635
237	19.654911
237	18.866038
237	19.289741
237	20.050742
237	19.54062
237.2	19.774772
237.2	19.746901
237.2	19.072315
237.2	19.390096
237.5	19.197757
237.5	19.345496
237.5	19.518321
237.8	19.286954
237.8	18.799134
237.8	19.077896
237.8	18.843738
237.8	19.147581
238	18.89112
238	18.81865
238	19.105767
238	19.877913
238	19.027717
238.2	18.960812
238.2	18.827013
238.2	19.200543
238.2	19.813799
238.5	19.284166
238.5	18.355922
238.5	19.562919
238.5	19.158728
238.5	18.545473
238.7	18.924577
238.7	19.002627
238.7	18.793559
238.7	18.146856
238.7	18.835375
239	18.408884
239	19.114124
239	18.548258
239	18.723875
239	18.319683
239.2	18.42003
239.2	18.40052
239.2	18.74896
239.2	18.185879
239.2	19.231208
239.5	18.500873
239.5	18.183089
239.5	18.648612
239.5	17.879245
239.5	18.723873
239.7	18.498082
239.7	18.300167
239.7	18.888333
239.7	17.859739
239.7	18.498082
240	18.107826
240	18.272296
240	18.486934
240	17.823501
