# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw c_wallTemp c_wallPE
3000000 236.252 -164738 10986.4 237.733 -384908
3001000 238.312 -164735 11128.5 235.664 -384893
3002000 239.584 -164784 11258.9 236.277 -384901
3003000 236.373 -164647 11201 237.472 -384931
3004000 235.324 -164582 11197.5 241.546 -384985
3005000 234.181 -164510 11104.6 233.195 -384893
3006000 233.549 -164506 11025.8 236.055 -384892
3007000 235.137 -164583 11061.8 239.228 -384920
3008000 236.609 -164623 11084.9 237.519 -384934
3009000 236.549 -164656 11063.7 240.661 -384936
3010000 236.23 -164644 11042.7 236.245 -384908
3011000 238.662 -164768 11154.5 237.254 -384914
3012000 236.346 -164651 11068.3 234.969 -384906
3013000 237.009 -164645 11103.7 238.229 -384961
3014000 238.173 -164704 11144 240.727 -384953
3015000 237.434 -164680 11097.4 235.323 -384887
3016000 238.046 -164704 11113.1 232.282 -384863
3017000 236.717 -164645 11038.7 239.827 -384933
3018000 238.411 -164699 11099.4 233.933 -384894
3019000 235.751 -164610 10973.9 234.642 -384870
3020000 236.67 -164622 11019 234.678 -384895
3021000 236.73 -164636 11018.1 236.871 -384896
3022000 235.758 -164586 10976.3 236.168 -384909
3023000 237.038 -164626 11026.3 236.895 -384934
3024000 237.32 -164648 11037.5 241.147 -384947
3025000 236.82 -164622 11011.8 235.511 -384888
3026000 236.189 -164598 10984.6 237.677 -384907
3027000 239.001 -164742 11118.8 233.339 -384873
3028000 236.849 -164651 11021.8 234.922 -384878
3029000 237.385 -164643 11048.9 234.064 -384889
3030000 239.27 -164740 11135.6 236.864 -384910
3031000 237.976 -164698 11083.5 237.685 -384911
3032000 235.151 -164539 10948.4 235.47 -384911
3033000 234.233 -164554 10922.2 238.874 -384893
3034000 238.052 -164718 11106.7 239.09 -384935
3035000 233.538 -164519 10910.4 234.895 -384893
3036000 237.273 -164691 11093.4 235.704 -384896
3037000 237.355 -164706 11106.2 237.839 -384919
3038000 237.281 -164747 11114.7 233.373 -384841
3039000 237.49 -164723 11114.8 234.787 -384897
3040000 234.715 -164592 11002 236.088 -384904
3041000 235.358 -164614 11040.2 230.049 -384857
3042000 236.454 -164663 11094 234.592 -384883
3043000 238.596 -164788 11193.9 238.22 -384904
3044000 236.418 -164693 11111.6 236.767 -384900
3045000 236.392 -164699 11104.2 241.086 -384936
3046000 236.11 -164690 11101.3 235.56 -384893
3047000 234.698 -164589 11053.5 235.259 -384915
3048000 237.91 -164725 11219.2 235.558 -384924
3049000 237.299 -164685 11182.1 236.97 -384926
3050000 239.045 -164789 11248.2 235.66 -384890
3051000 238.824 -164762 11231.4 232.889 -384878
3052000 236.773 -164691 11142.2 238.044 -384918
3053000 237.91 -164768 11194.2 238.911 -384914
3054000 237.202 -164768 11145.1 234.137 -384859
3055000 233.656 -164583 10997.2 234.108 -384892
3056000 237.021 -164704 11158.2 234.05 -384908
3057000 235.793 -164667 11096.9 233.027 -384872
3058000 236.495 -164686 11106.2 235.045 -384900
3059000 237.486 -164743 11133.5 238.485 -384912
3060000 235.96 -164691 11054.4 234.497 -384889
3061000 236.414 -164706 11060.5 239.5 -384943
3062000 235.132 -164665 10987.7 236.163 -384897
3063000 237.806 -164762 11116.2 235.311 -384913
3064000 235.415 -164615 11005.4 236.84 -384931
3065000 235.543 -164607 11007.7 238.572 -384933
3066000 239.311 -164803 11171.5 240.964 -384930
3067000 238.078 -164723 11110 233.926 -384890
3068000 237.034 -164706 11044.9 236.811 -384888
3069000 235.973 -164636 10988.8 232.874 -384889
3070000 237.886 -164758 11071.8 241.491 -384956
3071000 235.596 -164646 10962.7 236.304 -384912
3072000 237.514 -164711 11050.5 237.555 -384926
3073000 237.111 -164676 11027.8 237.723 -384950
3074000 238.126 -164718 11073 238.478 -384951
3075000 237.485 -164681 11043.6 232.878 -384892
3076000 236.548 -164596 10999.7 233.38 -384919
3077000 236.296 -164626 10989.6 236.094 -384895
3078000 237.846 -164697 11066 235.194 -384905
3079000 235.75 -164618 10972.1 235.131 -384899
3080000 237.529 -164696 11060.6 236.245 -384922
3081000 236.198 -164642 10999.9 232.445 -384872
3082000 237.203 -164715 11053.7 233.944 -384865
3083000 235.739 -164655 10987.9 234.747 -384871
3084000 236.193 -164649 11018.4 235.637 -384891
3085000 236.523 -164669 11035 238.37 -384919
3086000 233.775 -164552 10922 241.733 -384941
3087000 235.586 -164639 11014.4 238.106 -384928
3088000 235.372 -164620 11019 236.669 -384906
3089000 235.78 -164628 11058.1 235.747 -384900
3090000 236.03 -164596 11078.6 237.889 -384937
3091000 235.549 -164575 11059.1 237.321 -384922
3092000 237.466 -164637 11144.6 236.45 -384927
3093000 235.3 -164583 11035.9 238.039 -384900
3094000 236.027 -164625 11089.3 239.986 -384922
3095000 237.952 -164705 11195.8 241.292 -384950
3096000 239.664 -164754 11270.3 233.426 -384893
3097000 237.606 -164691 11193.5 233.309 -384867
3098000 237.022 -164673 11159.7 239.461 -384929
3099000 236.609 -164681 11141.6 233.504 -384850
3100000 237.753 -164714 11185.4 235.164 -384895
3101000 241.444 -164822 11370.1 237.446 -384955
3102000 237.152 -164643 11160.1 235.658 -384905
3103000 236.162 -164628 11111.1 232.309 -384853
3104000 236.456 -164638 11122.1 237.023 -384898
3105000 234.808 -164553 11036.8 236.013 -384898
3106000 236.304 -164591 11110.7 235.11 -384902
3107000 236.007 -164551 11081.3 230.419 -384867
3108000 235.9 -164575 11067.8 238.633 -384903
3109000 236.557 -164624 11103.9 241.376 -384931
3110000 237.463 -164663 11126.1 238.284 -384920
3111000 237.421 -164679 11120.2 236.665 -384888
3112000 236.623 -164683 11074.2 236.597 -384876
3113000 238.138 -164733 11140.3 238 -384915
3114000 237.792 -164734 11118.1 239.133 -384918
3115000 237.12 -164672 11075.7 239.311 -384942
3116000 235.18 -164574 10969.2 240.011 -384946
3117000 236.918 -164647 11043.7 234.959 -384898
3118000 237.4 -164683 11055.6 234.054 -384859
3119000 234.122 -164562 10904.9 235.127 -384866
3120000 235.682 -164619 10979.4 236.779 -384896
3121000 239.58 -164799 11148.8 238.668 -384925
3122000 236.621 -164650 11011 235.146 -384901
3123000 236.855 -164641 11016.2 240.606 -384953
3124000 236 -164589 10973.6 233.58 -384877
3125000 235.959 -164584 10971.9 239.541 -384934
3126000 237.886 -164672 11063.3 236.681 -384898
3127000 234.239 -164495 10894.3 238.555 -384914
3128000 238.581 -164677 11096.9 234.13 -384899
3129000 235.778 -164547 10971.7 235.818 -384902
3130000 238.658 -164661 11106.3 235.968 -384908
3131000 237.292 -164591 11054.6 242.5 -384966
3132000 238.924 -164663 11136.7 238.795 -384923
3133000 237.525 -164625 11087.3 239.935 -384917
3134000 238.675 -164649 11139.2 239.541 -384944
3135000 238.412 -164660 11130.1 235.861 -384888
3136000 239.462 -164732 11193.1 238.652 -384904
3137000 236.071 -164553 11043.5 237.449 -384916
3138000 234.969 -164492 10993.9 233.957 -384897
3139000 233.219 -164466 10931.1 236.591 -384876
3140000 235.311 -164578 11022.9 236.026 -384888
3141000 235.533 -164572 11061.3 235.368 -384906
3142000 237.339 -164642 11128.1 238.274 -384928
3143000 238.118 -164684 11164.2 237.453 -384905
3144000 236.696 -164586 11117.2 234.912 -384912
3145000 236.697 -164591 11131.1 237.656 -384934
3146000 237.729 -164652 11193 239.478 -384925
3147000 239.768 -164731 11281.6 235.202 -384900
3148000 238.846 -164719 11237.4 234.782 -384870
3149000 236.97 -164600 11152.6 234.756 -384906
3150000 236.891 -164634 11150.6 238.051 -384890
3151000 237.148 -164644 11170 240.847 -384919
3152000 236.766 -164585 11170.9 236.278 -384924
3153000 237.356 -164626 11184.6 239.517 -384924
3154000 237.759 -164635 11180.1 235.979 -384904
3155000 238.198 -164645 11198.6 238.199 -384946
3156000 236.009 -164535 11070.9 231.758 -384896
3157000 237.565 -164621 11135 234.038 -384885
3158000 237.488 -164582 11130.8 240.142 -384972
3159000 236.099 -164529 11068.7 239.917 -384934
3160000 238.666 -164669 11180.6 234.228 -384871
3161000 237.234 -164547 11124.3 236.08 -384926
3162000 236.944 -164551 11100.7 237.862 -384919
3163000 235.599 -164499 11025.9 236.153 -384898
3164000 237.611 -164586 11113.6 241.547 -384948
