# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw c_wallTemp c_wallPE
5627000 244.343 -164080 13482.3 232.016 -384938
5628000 242.561 -164018 13348.3 241.772 -384989
5629000 242.255 -163997 13082.2 235.145 -384926
5630000 242.623 -164040 12827.9 231.917 -384874
5631000 242.665 -164011 12503 234.926 -384939
5632000 242.401 -164004 12157.9 232.332 -384927
5633000 242.276 -163957 11885.7 233.42 -384958
5634000 243.676 -164037 11758.6 239.665 -384995
5635000 242.494 -163963 11499.3 239.973 -385004
5636000 242.83 -163965 11385.3 233.797 -384935
5637000 242.052 -163951 11273 231.131 -384904
5638000 241.602 -163924 11239.5 234.171 -384943
5639000 243.123 -163993 11389.4 233.26 -384941
5640000 239.819 -163830 11368.2 232.353 -384954
5641000 239.806 -163799 11572.7 227.024 -384922
5642000 242.16 -163944 11913.9 235.4 -384958
5643000 242.717 -164007 12218 235.402 -384947
5644000 242.637 -163999 12502.6 237.409 -384974
5645000 242.43 -163987 12766.7 234.196 -384956
5646000 242.057 -163988 12954.1 230.912 -384902
5647000 241.249 -163959 13162.4 238.197 -384970
5648000 241.642 -163989 13316.5 233.025 -384915
5649000 240.865 -163975 13377.5 237.07 -384935
5650000 240.89 -163971 13443.7 235.156 -384939
5651000 239.016 -163888 13358.4 235.513 -384944
5652000 244.093 -164094 13460.3 234.265 -384951
5653000 243.608 -164079 13335.3 230.979 -384899
5654000 243.474 -164071 13099.6 235.074 -384924
5655000 242.423 -163994 12841.2 233.701 -384929
5656000 240.265 -163907 12471.1 235.731 -384918
5657000 242.113 -163950 12254.5 234.907 -384947
5658000 241.897 -163918 11922.8 234.489 -384937
5659000 242.342 -163931 11704.8 234.835 -384922
5660000 242.045 -163910 11465.1 235.277 -384925
5661000 243.787 -163953 11431.2 227.73 -384872
5662000 240.912 -163830 11215.7 235.406 -384924
5663000 241.477 -163890 11235 241.27 -384958
5664000 241.732 -163897 11308.9 237.728 -384943
5665000 244.425 -164004 11577.5 230.17 -384905
