y, z, Average_Vx, Average_Vy, Average_Vz, AtomCount
0.498383 0.499866 0.00027376 -5.53483e-05 -0.00103961 14.5509
1.49515 0.499866 2.44362e-05 -0.000208068 0.00036929 8.0281
2.49192 0.499866 -0.000666593 -0.000316314 -0.000756894 21.0738
3.48868 0.499866 -8.9553e-05 0.000660571 0.000275226 11.0386
4.48545 0.499866 -0.000358623 0.000862453 0.000465895 9.03161
5.48221 0.499866 0.00142213 0.000330429 -0.000768968 5.51932
6.47898 0.499866 -0.0032583 -0.00152751 0.00120562 4.01405
7.47575 0.499866 -0.000619325 0.0010599 -0.000267115 14.0492
8.47251 0.499866 -8.05762e-05 0.000212659 -0.000444439 18.565
9.46928 0.499866 9.87001e-05 -8.52498e-05 -0.000347112 11.0386
10.466 0.499866 -0.000707075 -0.000174381 -0.000845762 14.5509
11.4628 0.499866 -0.000971198 0.000209881 0.000145155 14.0492
12.4596 0.499866 -0.000473839 0.000973325 0.00135347 10.0351
13.4563 0.499866 0.00047351 -0.000155593 0.000231801 8.52986
14.4531 0.499866 0.000875401 -0.000921692 -0.000520695 5.51932
15.4499 0.499866 0.00136704 -0.000114719 -0.000926489 9.53337
16.4466 0.499866 -0.000517089 -0.000127345 -0.000957742 24.0843
17.4434 0.499866 -0.000429924 0.000123369 -0.000506279 14.0492
18.4402 0.499866 -0.000192275 -0.00105296 -0.000240973 11.0386
19.4369 0.499866 1.28846e-05 -0.000379754 -0.000722095 21.5755
20.4337 0.499866 4.51123e-05 -0.00115975 0.000409128 8.52986
21.4305 0.499866 0.00100973 -0.000399848 0.000564391 8.0281
22.4272 0.499866 0.00306398 -0.0005678 -0.00199287 6.52283
23.424 0.499866 -0.000319314 -0.000767 0.00151596 12.0422
24.4208 0.499866 0.0003712 -6.61013e-05 -0.00134982 18.0632
25.4175 0.499866 -0.000834467 0.000132497 -0.000262906 16.558
26.4143 0.499866 -0.000593201 -0.000479703 -0.000854477 9.53337
27.4111 0.499866 -0.000494829 -0.000593259 0.00038348 13.5474
28.4078 0.499866 -0.000533421 -0.000896107 -0.00105852 16.558
29.4046 0.499866 0.000629459 0.000564095 -0.00069609 6.02108
30.4014 0.499866 3.94718e-06 -0.000804918 0.00130272 9.03161
31.3981 0.499866 0.000480432 -0.000401194 -0.00214345 5.01756
32.3949 0.499866 -0.000209681 0.000385002 -0.000755312 15.0527
33.3917 0.499866 -0.000862373 -0.0001255 -0.00134137 18.0632
34.3884 0.499866 -0.000113788 -0.000257242 -0.000921394 13.0457
