y, z, Average_Vx, Average_Vy, Average_Vz, AtomCount
0.498383 0.499866 -0.000258375 -0.000317371 -0.00113395 14.5509
1.49515 0.499866 -0.000857316 0.00176789 0.000219208 12.5439
2.49192 0.499866 0.000207728 0.00154908 0.000432636 15.0527
3.48868 0.499866 0.000485641 0.000229768 -0.000420571 13.0457
4.48545 0.499866 0.00104254 0.00140767 -0.000957494 10.0351
5.48221 0.499866 -0.00016111 -0.000474293 0.000216285 10.0351
6.47898 0.499866 0.000632717 -0.00109102 -0.00189624 7.52634
7.47575 0.499866 0.000369283 -0.000955856 -0.000415034 14.5509
8.47251 0.499866 -0.000442665 0.000181188 -0.000378092 17.5615
9.46928 0.499866 -0.00084835 0.000305278 -0.00105973 9.03161
10.466 0.499866 -0.000141833 -5.76093e-05 -0.000947888 14.0492
11.4628 0.499866 0.000311483 0.000303568 -0.000697974 16.558
12.4596 0.499866 0.000411852 0.000135869 -0.000953219 10.5369
13.4563 0.499866 -0.000743145 -1.28665e-05 0.000122111 11.0386
14.4531 0.499866 -0.00129641 -0.000685073 0.000844837 8.0281
15.4499 0.499866 -0.000176699 -7.30502e-05 -0.000828267 10.0351
16.4466 0.499866 0.000374168 -0.000265094 -0.000380675 19.5685
17.4434 0.499866 -0.000553604 -0.000573541 0.000606634 11.5404
18.4402 0.499866 -0.000492459 -0.000592331 0.000203732 16.558
19.4369 0.499866 0.000220777 0.000453528 -0.000404661 18.565
20.4337 0.499866 -0.000290164 0.000376016 -9.85306e-05 12.0422
21.4305 0.499866 0.000102968 -0.00157405 -0.00145588 8.0281
22.4272 0.499866 0.0011595 -0.000833438 0.000909884 8.52986
23.424 0.499866 0.000148954 0.000121283 0.000363247 8.0281
24.4208 0.499866 0.000784229 8.07204e-05 -0.000609927 14.5509
25.4175 0.499866 -0.000322947 -0.000760748 -4.54383e-05 12.5439
26.4143 0.499866 -0.000876223 0.000316763 -0.000817875 10.5369
27.4111 0.499866 -0.00107651 -0.000139714 -0.000747337 20.572
28.4078 0.499866 -0.000339653 -0.000490073 -0.00179322 13.0457
29.4046 0.499866 -0.000906853 -0.000400637 0.000188513 9.53337
30.4014 0.499866 0.000623641 -0.000300936 0.000802166 9.53337
31.3981 0.499866 0.000400839 -0.00098004 -0.000464755 8.52986
32.3949 0.499866 -0.0010195 0.000406067 -0.000877206 12.5439
33.3917 0.499866 -0.000107467 0.000385219 0.000817191 16.558
34.3884 0.499866 -0.00100564 0.000734281 -0.000767489 9.03161
35.3852 0.499866 0.000276679 -0.000344765 -0.000913776 17.5615
36.382 0.499866 -0.000674107 -0.000345252 -0.00141074 13.0457
37.3787 0.499866 0.00014027 -0.000418343 0.000508516 12.5439
38.3755 0.499866 -0.000424094 0.00091555 -0.000253808 4.51581
39.3723 0.499866 -0.000898848 -0.000519534 0.000303408 9.03161
40.369 0.499866 0.000607695 -0.000947748 0.000631781 9.03161
41.3658 0.499866 -6.80568e-05 -6.15957e-05 -0.00136486 18.565
42.3626 0.499866 0.000605901 -0.000230272 -0.00131047 11.5404
43.3593 0.499866 -0.000242074 0.000677552 -0.000159138 7.52634
44.3561 0.499866 1.07918e-06 -0.000547357 -0.000927087 21.0738
45.3529 0.499866 -0.000157526 0.000333412 0.000128383 13.0457
46.3496 0.499866 0.000488595 -0.00106771 0.00074605 10.0351
47.3464 0.499866 0.00102673 0.00100344 0.00049327 9.03161
48.3432 0.499866 0.000353844 0.000611526 0.000193657 10.0351
49.3399 0.499866 0.000603876 -0.000989394 -1.50527e-05 18.0632
50.3367 0.499866 -0.000121341 -0.000200917 -0.000322567 14.0492
51.3335 0.499866 -0.00110019 0.000586659 -0.000324082 9.53337
52.3302 0.499866 0.000600833 -0.000682462 -0.000433517 19.0667
53.327 0.499866 0.000873421 -0.000556207 -0.000200734 12.0422
54.3238 0.499866 0.00114429 -0.0016869 8.55465e-05 7.52634
55.3205 0.499866 -0.00130531 -0.00153039 0.000154568 6.52283
56.3173 0.499866 0.000372925 0.000583839 0.000134207 8.52986
57.3141 0.499866 0.0013024 0.000396358 3.73958e-05 13.5474
58.3108 0.499866 -0.000161329 -5.87359e-06 0.000133965 18.565
59.3076 0.499866 -0.000269248 -0.000243771 0.000172823 9.03161
60.3044 0.499866 0.000916414 0.000551052 -0.00107991 14.5509
61.3011 0.499866 -0.000443663 -0.000324448 -0.000677488 15.0527
62.2979 0.499866 -0.00191383 -9.93721e-05 0.000933652 7.52634
63.2947 0.499866 0.000271292 0.000622522 9.85464e-05 8.0281
64.2914 0.499866 -0.000570061 0.00197298 -0.0018178 8.52986
65.2882 0.499866 0.00211133 0.000607566 0.00162448 9.03161
66.285 0.499866 0.00092258 -2.6154e-05 -0.00028716 21.0738
67.2817 0.499866 -0.000989417 -0.000308307 0.00114762 10.5369
68.2785 0.499866 -0.00076373 -0.00100512 -0.000322579 15.5544
69.2753 0.499866 -0.00136045 0.000178142 -0.000371171 12.5439
70.272 0.499866 -0.000461285 0.000669693 -0.000833722 12.5439
71.2688 0.499866 0.00136496 -0.000380453 -0.000791449 8.52986
72.2656 0.499866 -0.000308636 0.000100613 -0.0010639 5.51932
73.2623 0.499866 0.000822278 0.000635129 -0.00118229 10.0351
74.2591 0.499866 -6.72952e-05 0.000537644 0.00066542 15.5544
75.2559 0.499866 -0.000335618 0.00114758 -0.000958706 15.5544
