# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw v_locF v_locFUP c_wallTemp c_wallPE c_UPwallTemp c_UPwallPE
18405900 221.029 -627811 38929.1 -14.9204 -44.4552 219.176 -1.19191e+06 218.385 -1.19051e+06
18406000 220.395 -627685 38817.5 117.561 -6.97488 217.362 -1.19192e+06 220.338 -1.19051e+06
18406100 221.2 -627820 38959.2 145.482 73.9498 220.054 -1.19194e+06 223.69 -1.19053e+06
18406200 220.168 -627634 38778.3 -83.9429 85.1825 223.429 -1.19195e+06 220.597 -1.19053e+06
18406300 221.071 -627798 38936.6 77.2743 6.31373 214.845 -1.19187e+06 219.726 -1.19052e+06
18406400 220.71 -627713 38873.3 -26.7465 54.2931 219.936 -1.19194e+06 220.028 -1.19052e+06
18406500 220.454 -627704 38828.4 150.473 17.8655 221.694 -1.19195e+06 223.144 -1.19053e+06
18406600 220.83 -627802 38895.4 105.988 -37.4502 221.758 -1.1919e+06 221.009 -1.19054e+06
18406700 219.92 -627623 38735.3 -55.0205 -16.8377 221.271 -1.19194e+06 222.265 -1.19055e+06
18406800 219.769 -627629 38707.8 22.0111 156.313 220.369 -1.19192e+06 220.078 -1.19052e+06
18406900 220.966 -627825 38918.2 -24.218 -88.5901 219.314 -1.1919e+06 220.742 -1.19054e+06
18407000 220.782 -627726 38885.8 180.048 -111.813 221.639 -1.19196e+06 216.951 -1.19052e+06
18407100 220.557 -627758 38846.9 -78.6176 24.3534 222.205 -1.19193e+06 220.746 -1.19051e+06
18407200 220.737 -627735 38877.6 143.875 -42.2942 220.707 -1.19193e+06 220.999 -1.19055e+06
18407300 220.141 -627610 38772.9 -81.1371 55.8705 222.681 -1.19196e+06 215.502 -1.19049e+06
18407400 221.438 -627850 39001.6 59.5609 -35.1023 218.733 -1.19192e+06 220.66 -1.19052e+06
18407500 220.713 -627689 38874 -69.749 89.2511 221.55 -1.19193e+06 218.735 -1.19053e+06
18407600 221.433 -627825 39000.9 28.589 -123.149 220.764 -1.19192e+06 220.56 -1.19053e+06
18407700 221.132 -627774 38947.1 -49.7628 34.0321 216.3 -1.1919e+06 223.34 -1.19054e+06
18407800 220.411 -627662 38820.1 -33.9373 42.4837 225.43 -1.19196e+06 221.346 -1.19053e+06
18407900 219.862 -627561 38723.7 0.983789 -118.856 223.048 -1.19195e+06 221.725 -1.19053e+06
18408000 220.323 -627664 38805 120.691 23.986 218.697 -1.19192e+06 220.25 -1.1905e+06
18408100 220.369 -627653 38813.4 171.013 -145.002 220.862 -1.19193e+06 221.324 -1.19055e+06
18408200 220.263 -627676 38794.2 -30.4883 -7.25214 217.572 -1.19188e+06 219.892 -1.1905e+06
18408300 220.498 -627698 38835.9 54.0982 76.7992 216.427 -1.19191e+06 217.97 -1.19047e+06
18408400 220.995 -627756 38922.9 135.432 -61.928 220.716 -1.19194e+06 222.023 -1.19055e+06
18408500 220.953 -627810 38915.4 -74.4115 -148.126 222.283 -1.19194e+06 222.204 -1.19052e+06
18408600 220.893 -627834 38904.7 159.743 -139.532 223.269 -1.19192e+06 222.412 -1.19053e+06
18408700 220.849 -627798 38896.9 -108.854 96.8773 216.45 -1.19191e+06 220.975 -1.1905e+06
18408800 220.676 -627759 38866.6 -72.6643 42.7512 219.107 -1.19193e+06 215.463 -1.19047e+06
18408900 221.106 -627878 38942.6 34.7474 -92.4461 217.365 -1.19191e+06 222.908 -1.19051e+06
18409000 220.486 -627705 38833.5 -225.611 -106.808 221.081 -1.19196e+06 216.977 -1.19049e+06
18409100 220.863 -627763 38899.5 -70.4935 -50.9471 219.276 -1.19193e+06 218.31 -1.19051e+06
18409200 221.269 -627856 38971 122.579 142.365 217.683 -1.19193e+06 220.612 -1.19049e+06
18409300 221.625 -627900 39033.7 191.278 -83.4272 219.745 -1.19193e+06 213.634 -1.19046e+06
18409400 221.983 -627944 39096.6 11.7788 -57.6495 218.341 -1.19193e+06 216.445 -1.19048e+06
18409500 221.217 -627791 38961.9 -2.62755 -149.871 218.807 -1.19195e+06 220.579 -1.19051e+06
18409600 220.79 -627741 38886.8 -121.145 -114.398 223.399 -1.19197e+06 216.846 -1.19047e+06
18409700 220.801 -627697 38888.5 12.9028 48.1685 219.512 -1.19195e+06 221.839 -1.19053e+06
18409800 221.759 -627878 39057.3 88.9118 14.2674 221.544 -1.19195e+06 219.199 -1.19052e+06
18409900 220.722 -627719 38874.6 -124.951 92.072 221.22 -1.19192e+06 219.924 -1.19052e+06
18410000 219.947 -627625 38738.2 -59.6794 123.932 220.659 -1.19191e+06 217.817 -1.19047e+06
18410100 219.832 -627542 38718 19.7485 68.7791 220.784 -1.19196e+06 221.018 -1.19053e+06
18410200 220.195 -627622 38781.9 -214.55 107.273 216.986 -1.19194e+06 220.659 -1.19049e+06
18410300 220.19 -627603 38781.5 25.116 0.977478 218.432 -1.19194e+06 220.308 -1.19051e+06
18410400 220.09 -627598 38764.6 -88.1295 123.87 220.678 -1.19195e+06 219.943 -1.19049e+06
18410500 220.257 -627628 38793.4 -75.5703 -153.709 222.138 -1.19194e+06 217.886 -1.1905e+06
18410600 221.427 -627836 39000 -47.9929 -51.0345 221.114 -1.19194e+06 219.975 -1.1905e+06
18410700 220.51 -627718 38839.3 -49.0852 87.7599 217.431 -1.19188e+06 220.494 -1.19049e+06
18410800 220.007 -627617 38750.3 -15.8197 -15.4689 222.74 -1.19196e+06 219.991 -1.19049e+06
18410900 220.652 -627729 38864.4 187.832 -130.241 224.074 -1.19196e+06 217.256 -1.19049e+06
18411000 221.235 -627848 38967.2 -107.472 -125.876 219.65 -1.19192e+06 219.472 -1.19052e+06
18411100 220.618 -627761 38857.9 -229.869 171.719 219.315 -1.19191e+06 221.222 -1.19051e+06
18411200 219.759 -627595 38706 108.951 -7.73443 218.054 -1.19188e+06 217.168 -1.1905e+06
18411300 220.521 -627747 38840.1 -35.8527 100.682 222.177 -1.19194e+06 220.67 -1.19051e+06
18411400 219.771 -627626 38707.6 -24.7187 64.8576 217.976 -1.19191e+06 218.164 -1.19048e+06
18411500 220.449 -627706 38826.7 -3.58094 -42.6261 216.426 -1.19191e+06 219.553 -1.19052e+06
18411600 220.171 -627677 38777.7 179.474 65.1559 219.171 -1.19192e+06 215.798 -1.19047e+06
18411700 219.61 -627577 38678.7 15.2552 -25.0846 219.278 -1.19191e+06 217.175 -1.19051e+06
18411800 220.76 -627795 38881.3 103.235 50.1006 220.846 -1.19193e+06 221.71 -1.19052e+06
18411900 220.272 -627683 38795.3 84.8833 -47.6596 216.455 -1.19189e+06 221.953 -1.19054e+06
18412000 220.229 -627700 38787.7 40.3175 76.4813 216.334 -1.19191e+06 219.626 -1.19048e+06
18412100 219.43 -627574 38647.1 100.265 14.4187 217.717 -1.19188e+06 222.337 -1.19052e+06
18412200 221.098 -627849 38940.8 78.0241 -109.88 222.055 -1.19193e+06 221.571 -1.19053e+06
18412300 220.396 -627740 38817.4 -11.9058 -65.4689 221.42 -1.19192e+06 220.053 -1.19052e+06
18412400 221.219 -627909 38962.2 165.018 -98.3165 219.638 -1.19191e+06 219.502 -1.19049e+06
18412500 220.768 -627838 38882.8 -117.109 -89.0958 222.576 -1.19193e+06 220.794 -1.1905e+06
18412600 220.03 -627695 38753.6 -29.0095 124.203 222.833 -1.19195e+06 219.492 -1.19049e+06
18412700 220.285 -627781 38798.4 90.8742 15.7395 220.54 -1.19191e+06 222.485 -1.19052e+06
18412800 221.141 -627965 38949.3 -15.7396 201.784 221.273 -1.19193e+06 220.761 -1.19048e+06
18412900 219.412 -627650 38645 125.089 -106.762 218.527 -1.19192e+06 218.383 -1.19047e+06
18413000 220.932 -627879 38913.1 14.9936 100.951 222.582 -1.19197e+06 218.994 -1.19051e+06
18413100 220.951 -627872 38915.9 -65.2969 -41.5934 222.804 -1.19196e+06 219.074 -1.19053e+06
18413200 220.139 -627740 38772.3 -64.767 22.1771 222.177 -1.19195e+06 219.303 -1.19053e+06
18413300 220.702 -627874 38871.6 -84.0975 -120.241 221.698 -1.19196e+06 221.162 -1.19049e+06
18413400 220.54 -627878 38842.6 106.855 152.071 220.457 -1.19194e+06 220.203 -1.19047e+06
18413500 219.703 -627699 38695.1 67.5704 60.3708 220.1 -1.19195e+06 219.619 -1.19049e+06
18413600 218.862 -627550 38546.9 134.007 88.8255 221.298 -1.19194e+06 219.189 -1.19051e+06
18413700 219.99 -627722 38745.7 177.59 51.5406 218.489 -1.19192e+06 220.554 -1.19054e+06
18413800 219.795 -627694 38711.2 -91.5923 21.4003 218.273 -1.19193e+06 218.315 -1.19049e+06
18413900 219.669 -627629 38689 -35.3553 40.2524 217.753 -1.19193e+06 222.593 -1.19055e+06
18414000 220.97 -627893 38918.4 89.3443 -43.8865 215.114 -1.19189e+06 218.443 -1.19049e+06
18414100 220.98 -627884 38920 104.623 -59.9631 218.706 -1.19196e+06 221.875 -1.1905e+06
18414200 220.691 -627843 38869 -12.8381 57.5623 218.383 -1.19194e+06 219.517 -1.19048e+06
18414300 220.575 -627818 38849.1 38.471 21.1135 220.987 -1.19196e+06 220.475 -1.19049e+06
18414400 219.848 -627678 38720.7 -48.4964 55.9177 220.648 -1.19193e+06 216.236 -1.19048e+06
18414500 219.819 -627659 38715.5 -11.8685 -72.4293 222.95 -1.19194e+06 219.326 -1.19052e+06
18414600 219.827 -627696 38717.1 -58.6509 248.836 218.441 -1.1919e+06 221.097 -1.19051e+06
18414700 220.592 -627872 38851.7 -0.612863 203.968 224.172 -1.19196e+06 221.95 -1.19049e+06
18414800 219.833 -627686 38718.2 40.2037 13.1243 221.911 -1.19194e+06 219.161 -1.19053e+06
18414900 219.403 -627619 38642.2 47.7601 -16.9933 220.866 -1.19193e+06 218.286 -1.1905e+06
18415000 220.362 -627791 38811.3 -8.14512 -211.539 221.094 -1.19194e+06 218.614 -1.19049e+06
18415100 219.597 -627645 38676.8 70.9859 158.971 219.674 -1.19192e+06 222.961 -1.19055e+06
18415200 220.12 -627751 38769.4 -134.961 -137.405 215.586 -1.19189e+06 216.23 -1.19048e+06
18415300 219.878 -627691 38726.5 48.4823 121.937 222.436 -1.19195e+06 218.931 -1.19051e+06
18415400 220.711 -627842 38873.4 15.0924 -49.2935 222.208 -1.19195e+06 219.578 -1.19051e+06
18415500 220.786 -627839 38886.6 -194.135 99.8468 221.734 -1.19194e+06 216.505 -1.1905e+06
18415600 219.821 -627690 38716.4 -1.92674 -28.5117 216.561 -1.19189e+06 222.842 -1.19053e+06
18415700 220.434 -627803 38824.6 -8.56664 -156.652 218.551 -1.19193e+06 218.322 -1.19047e+06
18415800 221.331 -627964 38982.2 8.52058 -89.833 222.751 -1.19195e+06 214.525 -1.19046e+06
18415900 219.866 -627701 38724 -43.7756 156.568 222.297 -1.19194e+06 219.953 -1.19051e+06
18416000 220.589 -627855 38851.3 -93.2517 21.2458 222.28 -1.19192e+06 221.484 -1.19052e+06
18416100 219.438 -627637 38648.5 -54.9426 36.8756 216.448 -1.19191e+06 219.816 -1.19049e+06
18416200 219.55 -627667 38668.6 -19.4621 -19.6545 216.607 -1.19191e+06 224.625 -1.19051e+06
18416300 220.285 -627766 38797.7 -34.0748 -89.0375 217.089 -1.1919e+06 214.633 -1.19047e+06
18416400 219.142 -627598 38596.5 106.196 -89.198 223.23 -1.19195e+06 223.077 -1.19051e+06
18416500 219.891 -627698 38728.5 -119.365 167.098 219.806 -1.19193e+06 217.528 -1.19047e+06
18416600 220.582 -627781 38850 12.7348 91.9733 215.006 -1.19191e+06 226.442 -1.19056e+06
18416700 220.47 -627808 38831.1 -26.49 -71.262 219.427 -1.19192e+06 221.858 -1.1905e+06
18416800 219.922 -627722 38734.1 -89.6353 120.726 222.107 -1.19194e+06 218.243 -1.19048e+06
18416900 219.621 -627647 38681 63.3176 63.1723 220.35 -1.19194e+06 219.892 -1.1905e+06
18417000 220.905 -627887 38906.8 82.9469 -10.6539 220.256 -1.19191e+06 219.493 -1.19052e+06
18417100 219.744 -627648 38702.4 19.3843 24.8316 220.642 -1.19192e+06 220.899 -1.19055e+06
18417200 219.224 -627571 38611.1 38.1805 -29.391 219.002 -1.19193e+06 219.118 -1.1905e+06
18417300 220.861 -627854 38899.3 25.5789 130.94 220.018 -1.19197e+06 218.759 -1.19048e+06
18417400 220.532 -627824 38841.3 5.54486 -98.2073 223.387 -1.19198e+06 221.966 -1.19049e+06
18417500 219.695 -627673 38694.2 3.58027 73.9246 220.001 -1.19194e+06 223.906 -1.19052e+06
18417600 221.689 -628067 39045.6 -14.7844 247.712 218.231 -1.19192e+06 224.022 -1.1905e+06
18417700 218.837 -627528 38543.3 -15.3145 49.5709 218.214 -1.1919e+06 219.506 -1.19052e+06
18417800 220.574 -627814 38849.1 -19.0345 135.911 218.792 -1.19194e+06 217.801 -1.1905e+06
18417900 219.277 -627628 38620.3 133.691 -94.9595 218.036 -1.19192e+06 220.443 -1.19049e+06
18418000 220.191 -627756 38781.3 65.6745 262.343 219.558 -1.19193e+06 219.404 -1.19052e+06
18418100 219.684 -627680 38691.9 -34.8843 43.8583 215.992 -1.19189e+06 223.773 -1.19054e+06
18418200 219.609 -627604 38679.1 -5.3179 -18.6954 220.058 -1.19194e+06 221.121 -1.19055e+06
18418300 220.646 -627832 38861.2 11.9525 -111.496 220.5 -1.19193e+06 220.722 -1.19051e+06
18418400 220.637 -627866 38859.6 134.414 -128.61 221.354 -1.1919e+06 223.882 -1.19055e+06
18418500 220.836 -627902 38894.7 -9.6688 18.7962 218.119 -1.19189e+06 222.843 -1.19053e+06
18418600 219.851 -627724 38721.2 97.6631 -39.9073 224.059 -1.19196e+06 223.081 -1.19053e+06
18418700 221.092 -627918 38939.8 24.0267 68.0404 221.465 -1.19195e+06 218.804 -1.19052e+06
18418800 220.072 -627719 38760.3 165.776 -81.9565 218.15 -1.19192e+06 217.303 -1.19051e+06
18418900 221.392 -627905 38992.6 15.6092 24.658 221.406 -1.19197e+06 223.811 -1.19058e+06
18419000 220.299 -627774 38800.1 17.7062 70.8507 216.296 -1.19191e+06 220.759 -1.1905e+06
18419100 221.37 -627919 38988.7 58.4807 -162.399 220.285 -1.19196e+06 219.831 -1.19052e+06
18419200 220.487 -627837 38833.1 -89.0258 119.475 217.25 -1.19188e+06 225.24 -1.19055e+06
18419300 220.737 -627844 38877.2 183.611 -1.46794 221.006 -1.19192e+06 215.143 -1.1905e+06
18419400 221.143 -627921 38948.7 -45.5764 -48.0293 221.302 -1.19191e+06 214.587 -1.19049e+06
18419500 221.018 -627911 38926.7 -79.1123 -56.717 218.342 -1.19188e+06 216.647 -1.1905e+06
18419600 219.598 -627647 38676.8 -17.8531 -174.9 221.675 -1.19193e+06 223.174 -1.19055e+06
18419700 220.397 -627816 38817.4 61.4874 134.447 218.932 -1.19192e+06 220.558 -1.1905e+06
18419800 219.297 -627608 38623.5 33.0686 -8.39857 223.282 -1.19196e+06 219.609 -1.19051e+06
18419900 220.725 -627862 38875.1 -0.0208045 -141.572 223.107 -1.19195e+06 220.621 -1.19052e+06
18420000 220.558 -627802 38845.7 124.511 132.279 216.104 -1.1919e+06 218.886 -1.19052e+06
18420100 220.396 -627820 38817.1 -10.2657 -1.92954 218.441 -1.19189e+06 220.111 -1.19051e+06
