1.47735	1.48236	4.054162
1.47735	4.44709	5.230244
1.47735	7.41181	4.578174
1.47735	10.3765	4.217556
1.47735	13.3413	5.216186
1.47735	16.306	4.008476
1.47735	19.2707	5.822938
1.47735	22.2354	4.296136
1.47735	25.2002	4.678506
1.47735	28.1649	5.118122
1.47735	31.1296	3.997104
1.47735	34.0943	5.985734
1.47735	37.0591	3.518148
1.47735	40.0238	3.148988
1.47735	42.9885	5.272126
1.47735	45.9532	3.447368
1.47735	48.9179	5.77593
1.47735	51.8827	4.421426
1.47735	54.8474	3.402566
1.47735	57.8121	5.204318
1.47735	60.7768	4.586194
1.47735	63.7416	5.195992
1.47735	66.7063	4.575874
1.47735	69.671	4.441272
1.47735	72.6357	4.693682
1.47735	75.6005	4.35491
1.47735	78.5652	3.34481
1.47735	81.5299	4.35296
1.47735	84.4946	3.75989
4.43205	1.48236	5.41525
4.43205	4.44709	5.18081
4.43205	7.41181	5.296658
4.43205	10.3765	4.152876
4.43205	13.3413	5.176516
4.43205	16.306	5.764872
4.43205	19.2707	3.985282
4.43205	22.2354	4.516218
4.43205	25.2002	4.796246
4.43205	28.1649	4.780658
4.43205	31.1296	4.95481
4.43205	34.0943	4.509638
4.43205	37.0591	4.877952
4.43205	40.0238	4.420804
4.43205	42.9885	5.518036
4.43205	45.9532	5.56626
4.43205	48.9179	3.327316
4.43205	51.8827	5.092756
4.43205	54.8474	6.059264
4.43205	57.8121	4.562118
4.43205	60.7768	3.85807
4.43205	63.7416	4.204138
4.43205	66.7063	4.803654
4.43205	69.671	5.469786
4.43205	72.6357	4.990446
4.43205	75.6005	4.163062
4.43205	78.5652	4.586226
4.43205	81.5299	4.83494
4.43205	84.4946	2.928952
7.38675	1.48236	4.944698
7.38675	4.44709	4.249126
7.38675	7.41181	4.759832
7.38675	10.3765	5.32795
7.38675	13.3413	4.087936
7.38675	16.306	4.579864
7.38675	19.2707	4.58349
7.38675	22.2354	4.297968
7.38675	25.2002	4.479568
7.38675	28.1649	4.66761
7.38675	31.1296	4.383782
7.38675	34.0943	4.326906
7.38675	37.0591	5.053056
7.38675	40.0238	4.610914
7.38675	42.9885	4.804952
7.38675	45.9532	4.229504
7.38675	48.9179	4.715742
7.38675	51.8827	4.672888
7.38675	54.8474	5.266328
7.38675	57.8121	5.16781
7.38675	60.7768	4.661754
7.38675	63.7416	4.735224
7.38675	66.7063	4.993368
7.38675	69.671	5.572766
7.38675	72.6357	5.54214
7.38675	75.6005	5.208954
7.38675	78.5652	5.121286
7.38675	81.5299	4.516802
7.38675	84.4946	5.58373
10.3415	1.48236	3.756602
10.3415	4.44709	4.465304
10.3415	7.41181	4.024176
10.3415	10.3765	5.345842
10.3415	13.3413	3.810536
10.3415	16.306	4.9194
10.3415	19.2707	4.484286
10.3415	22.2354	4.89394
10.3415	25.2002	3.266434
10.3415	28.1649	3.964646
10.3415	31.1296	3.900178
10.3415	34.0943	4.073352
10.3415	37.0591	4.632842
10.3415	40.0238	4.005854
10.3415	42.9885	5.126672
10.3415	45.9532	2.768374
10.3415	48.9179	5.273132
10.3415	51.8827	5.86782
10.3415	54.8474	5.55413
10.3415	57.8121	5.007996
10.3415	60.7768	4.132014
10.3415	63.7416	3.390488
10.3415	66.7063	4.620516
10.3415	69.671	4.56489
10.3415	72.6357	4.392138
10.3415	75.6005	5.694114
10.3415	78.5652	4.791901
10.3415	81.5299	4.124242
10.3415	84.4946	3.21641
13.2961	1.48236	4.675446
13.2961	4.44709	3.688284
13.2961	7.41181	5.11745
13.2961	10.3765	3.87189
13.2961	13.3413	4.027778
13.2961	16.306	4.535762
13.2961	19.2707	4.4069
13.2961	22.2354	4.30924
13.2961	25.2002	3.875522
13.2961	28.1649	4.14583
13.2961	31.1296	3.466536
13.2961	34.0943	3.778612
13.2961	37.0591	4.860892
13.2961	40.0238	4.648996
13.2961	42.9885	4.555794
13.2961	45.9532	4.283502
13.2961	48.9179	5.370676
13.2961	51.8827	5.677048
13.2961	54.8474	4.801264
13.2961	57.8121	4.907628
13.2961	60.7768	5.583812
13.2961	63.7416	5.120854
13.2961	66.7063	3.67294
13.2961	69.671	4.323708
13.2961	72.6357	5.413688
13.2961	75.6005	5.666214
13.2961	78.5652	4.365806
13.2961	81.5299	4.719618
13.2961	84.4946	5.168084
16.2508	1.48236	4.510744
16.2508	4.44709	5.418192
16.2508	7.41181	4.994554
16.2508	10.3765	5.540302
16.2508	13.3413	4.823536
16.2508	16.306	5.483826
16.2508	19.2707	5.355178
16.2508	22.2354	4.120886
16.2508	25.2002	4.88381
16.2508	28.1649	4.342792
16.2508	31.1296	3.966106
16.2508	34.0943	5.436448
16.2508	37.0591	3.735878
16.2508	40.0238	4.851998
16.2508	42.9885	4.937242
16.2508	45.9532	5.259174
16.2508	48.9179	4.548162
16.2508	51.8827	4.873184
