binRange along x axis (ANG)	 density (g/L)	 temperature (K)
25.65	991.872	244.189
25.75	1003.95	234.85
25.85	996.036	234.295
25.95	985.626	233.622
26.05	1020.6	242.369
26.15	991.872	236.907
26.25	1008.11	237.224
26.35	954.812	234.432
26.45	999.367	237.598
26.55	1013.94	240.226
26.65	1035.18	235.171
26.75	1001.03	238.951
26.85	1007.7	234.082
26.95	1000.62	233.195
27.05	1020.19	232.829
27.15	1010.19	241.484
27.25	1052.25	235.677
27.35	978.131	229.216
27.45	1025.18	236.231
27.55	1034.76	237.269
27.65	992.289	242.17
27.75	993.538	230.418
27.85	1032.68	236.09
27.95	987.708	239.588
28.05	1022.27	230.632
28.15	971.885	237.991
28.25	1003.95	232.322
28.35	1019.77	230.861
28.45	1034.76	239.053
28.55	1013.11	235.34
28.65	1018.52	239.87
28.75	1039.34	228.639
28.85	1033.51	236.016
28.95	991.456	242.991
29.05	1008.53	235.387
29.15	976.465	239.081
29.25	1042.26	235.955
29.35	982.295	239.5
29.45	958.56	227.508
29.55	1019.35	235.402
29.65	980.213	237.107
29.75	1035.18	229.746
29.85	1014.77	238.943
29.95	1030.18	241.226
30.05	996.453	228.325
30.15	991.456	234.45
30.25	1009.36	241.684
30.35	1026.43	238.998
30.45	1003.53	237.752
30.55	1008.94	229.221
30.65	1003.11	240.364
30.75	1000.62	237.385
30.85	1023.1	237.245
30.95	988.541	235.243
31.05	1015.19	234.752
31.15	1015.61	226.707
31.25	1041.42	240.728
31.35	1007.28	231.818
31.45	999.367	227.638
31.55	988.957	237.422
31.65	997.285	239.923
31.75	1015.61	237.724
31.85	990.623	235.244
31.95	987.708	234.522
32.05	997.702	231.442
32.15	1012.28	233.385
32.25	1048.5	232.336
32.35	1005.61	231.608
32.45	991.039	235.452
32.55	1009.36	242.25
32.65	1009.78	242.478
32.75	994.371	234.283
32.85	1002.28	235.576
32.95	1015.19	240.022
33.05	1028.52	242.7
33.15	1016.86	242.448
33.25	1006.03	236.246
33.35	982.711	240.643
33.45	997.702	239.757
33.55	1011.86	238.564
33.65	1026.43	230.777
33.75	1035.59	239.59
33.85	1004.78	233.116
33.95	1021.02	235.4
34.05	987.292	233.336
34.15	1006.86	236.828
34.25	985.626	234.591
34.35	998.535	240.765
34.45	1013.94	239.634
34.55	1005.61	229.307
34.65	1008.11	236.341
34.75	1029.35	234.207
34.85	1001.45	237.414
34.95	996.036	240.089
35.05	994.371	235.458
35.15	991.872	233.1
35.25	1025.6	233.541
35.35	1052.67	239.705
35.45	979.796	239.675
35.55	978.547	239.365
35.65	972.301	236.743
35.75	1014.77	236.774
35.85	1032.68	238.966
35.95	1008.11	234.858
36.05	996.869	236.123
36.15	995.62	234.899
36.25	1040.17	234.467
36.35	1008.94	224.439
36.45	1016.44	239.437
36.55	998.118	236.047
36.65	1018.94	240.079
36.75	1021.44	235.355
36.85	980.629	231.191
