binRange along x axis (ANG)	 density (g/L)	 temperature (K)
0.05	4.35069	299.754
0.15	260.558	230.921
0.25	2789.76	235.472
0.35	8251.82	238.099
0.45	9619.38	236.367
0.55	5934.35	238.4
0.65	2373.55	236.561
0.75	771.04	233.659
0.85	208.833	231.636
0.95	52.2083	224.061
1.05	11.1184	225.97
1.15	3.38387	221.759
1.25	0	0
1.35	0.48341	402.159
1.45	0	0
1.55	0	0
1.65	0	0
1.75	0	0
1.85	0	0
1.95	0	0
2.05	0	0
2.15	0	0
2.25	0	0
2.35	0	0
2.45	0	0
2.55	0.48341	75.8517
2.65	2.41705	175.511
2.75	41.5733	233.136
2.85	302.615	232.886
2.95	1088.64	237.536
3.05	2458.63	237.383
3.15	3696.16	238.264
3.25	4342.48	234.266
3.35	4277.22	238.288
3.45	3704.86	238.201
3.55	3051.77	235.406
3.65	2334.39	237.21
3.75	1694.35	237.982
3.85	1187.74	234.754
3.95	790.376	232.95
4.05	524.984	244.719
4.15	315.184	254.283
4.25	199.649	224.601
4.35	102.483	226.29
4.45	67.1941	235.203
4.55	37.2226	220.791
4.65	24.1705	217.64
4.75	17.8862	317.744
4.85	12.0853	223.468
4.95	10.1516	361.668
5.05	11.1184	238.724
5.15	14.9857	212.819
5.25	27.071	232.741
5.35	45.924	229.049
5.45	76.3789	222.97
5.55	149.857	242.301
5.65	275.544	238.16
5.75	474.226	232.081
5.85	842.584	244.513
5.95	1326.96	236.295
6.05	1917.69	238.452
6.15	2375	235.253
6.25	2588.66	234.708
6.35	2535	237.798
6.45	2294.75	236.44
6.55	1916.72	234.834
6.65	1560.93	237.997
6.75	1225.93	245.724
6.85	1044.65	236.926
6.95	994.859	230.32
7.05	940.717	235.465
7.15	964.887	237.892
7.25	1026.76	232.92
7.35	1043.68	235.936
7.45	1034.98	237.195
7.55	1056.74	237.699
7.65	1002.59	232.554
7.75	931.532	238.452
7.85	916.063	235.224
7.95	766.206	239.26
8.05	759.921	233.59
8.15	653.088	242.017
8.25	590.244	238.602
8.35	530.785	243.513
8.45	530.785	237.53
8.55	506.131	236.02
8.65	524.5	235.231
8.75	545.77	232.334
8.85	612.481	234.14
8.95	693.694	227.888
9.05	782.642	232.531
9.15	897.21	227.326
9.25	1006.46	237.728
9.35	1104.59	233.22
9.45	1205.14	241.703
9.55	1285.39	235.587
9.65	1325.99	240.053
9.75	1388.35	231.194
9.85	1400.44	233.958
9.95	1419.78	236.932
10.05	1317.29	234.567
10.15	1308.11	246.055
10.25	1254.45	235.909
10.35	1176.14	231.177
10.45	1146.65	244.829
10.55	1081.87	240.304
10.65	1046.1	241.229
10.75	1024.83	237.578
10.85	950.385	240.056
10.95	956.669	237.236
11.05	929.598	247.717
11.15	974.555	241.458
11.25	917.03	231.99
11.35	920.414	235.485
11.45	871.106	239.697
11.55	852.253	231.896
11.65	861.921	234.22
11.75	869.172	237.522
11.85	851.286	236.272
11.95	860.954	242.577
12.05	874.973	240.078
12.15	871.106	241.042
12.25	911.229	231.227
12.35	901.561	236.961
12.45	943.617	229.402
12.55	946.034	230.869
12.65	945.067	233.719
12.75	976.973	239.38
12.85	1011.78	236.316
12.95	1039.33	236.48
13.05	1056.25	235.666
13.15	1087.67	237.938
13.25	1062.54	235.831
13.35	1102.66	235.062
13.45	1098.31	233.713
13.55	1146.65	235.789
13.65	1092.99	233.121
13.75	1079.46	234.974
13.85	1065.92	235.211
13.95	1047.07	235.877
14.05	1076.56	229.241
14.15	1048.03	240.792
14.25	1046.58	236.978
14.35	1003.56	239.684
14.45	1006.94	237.941
14.55	994.859	235.675
14.65	1012.74	242.304
14.75	996.792	239.007
14.85	976.489	240.944
14.95	963.92	244.475
15.05	980.356	228.093
15.15	936.849	238.405
15.25	917.513	244.161
15.35	907.361	237.988
15.45	931.049	231.434
15.55	951.352	242.829
15.65	960.537	241.383
15.75	940.233	229.584
15.85	977.939	235.918
15.95	982.773	236.173
16.05	976.973	227.6
16.15	1011.78	234.036
16.25	984.707	243.326
16.35	1063.5	238.072
16.45	998.243	235.929
16.55	1018.55	240.332
16.65	1007.91	237.751
16.75	991.958	243.284
16.85	1027.73	243.358
16.95	1024.35	231.907
17.05	1087.19	237.935
17.15	1033.53	237.763
17.25	1041.27	242.768
17.35	1045.13	235.973
17.45	1008.39	239.231
17.55	1017.58	236.119
17.65	1070.75	237.484
17.75	961.987	236.992
17.85	959.57	242.573
17.95	1010.33	238.204
18.05	1034.98	226.953
18.15	994.859	245.687
18.25	1005.98	229.836
18.35	976.973	232.445
18.45	1015.65	242.3
18.55	961.987	238.25
18.65	998.726	243.755
18.75	981.323	243.866
18.85	1005.98	236.656
18.95	982.29	238.04
19.05	1017.58	234.366
19.15	966.338	243.179
19.25	959.57	229.199
19.35	975.039	229.138
19.45	1024.83	234.559
19.55	989.541	237.093
19.65	976.006	235.124
19.75	993.892	227.416
19.85	1003.56	241.777
19.95	1049	238.592
20.05	1020.96	237.808
20.15	990.991	237.843
20.25	1024.83	234.55
20.35	999.693	241.585
20.45	971.172	235.193
20.55	1005.49	236.35
20.65	1023.38	228.859
20.75	1028.21	242.357
20.85	1006.94	235.625
20.95	996.309	238.031
21.05	1033.05	243.222
21.15	971.172	238.571
21.25	1012.74	238.269
21.35	1017.1	237.83
21.45	1011.78	226.543
21.55	968.271	241.133
21.65	1020	235.938
21.75	1014.68	236.84
21.85	1010.33	235.094
21.95	988.574	238.206
22.05	978.423	229.624
22.15	1020.96	239.028
22.25	1011.78	235.727
22.35	979.39	237.022
22.45	985.191	239.158
22.55	995.826	232.028
22.65	1017.58	237.634
22.75	1027.25	244.75
22.85	1003.56	234.369
22.95	982.29	239.399
23.05	977.939	229.228
23.15	987.124	241.941
23.25	1009.36	237.531
23.35	1003.08	232.27
23.45	1012.26	239.233
23.55	1018.55	242.631
23.65	1004.04	229.176
23.75	1008.88	241.424
23.85	996.309	236.533
23.95	1003.56	243.549
24.05	1007.91	237.54
24.15	1028.7	233.134
24.25	1014.2	232.977
24.35	990.508	247.232
24.45	993.892	237.44
24.55	1011.29	235.953
24.65	1026.76	239.469
24.75	985.191	233.076
24.85	983.257	226.998
24.95	991.475	235.913
25.05	1004.53	238.355
25.15	1025.31	232.129
25.25	979.873	234.968
25.35	985.674	239.342
25.45	1003.56	233.401
25.55	1005.98	241.754
25.65	1045.62	245.761
25.75	1037.88	242.516
25.85	1015.16	233.462
25.95	997.276	244.011
26.05	976.973	242.004
26.15	995.342	233.524
26.25	991.475	236.201
26.35	963.92	242.562
26.45	1007.43	237.868
26.55	998.726	237.107
26.65	1017.58	236.03
26.75	1011.78	233.508
26.85	992.925	237.458
26.95	1006.46	239.063
27.05	983.257	239.088
27.15	995.826	238.2
27.25	971.655	241.29
27.35	1014.2	238.651
27.45	1011.29	228.911
27.55	1012.26	237.992
27.65	1004.53	235.039
27.75	991.958	238.324
27.85	1000.66	237.004
27.95	999.209	239.77
28.05	1017.58	235.825
28.15	1002.59	234.746
28.25	1027.25	229.379
28.35	1015.65	240.075
28.45	1042.72	231.452
28.55	964.404	236.462
28.65	992.442	243.874
28.75	1008.88	239.99
28.85	980.356	231.343
28.95	980.84	241.112
29.05	987.608	236.777
29.15	1010.81	240.282
29.25	1025.8	232.479
29.35	1034.98	238.04
29.45	1021.93	238.906
29.55	1021.45	231.951
29.65	966.821	237.41
29.75	994.375	239.656
29.85	996.309	240.656
29.95	1008.88	231.156
30.05	976.489	246.206
30.15	1010.33	240.142
30.25	990.991	237.095
30.35	994.859	237.597
30.45	1015.65	236.746
30.55	990.025	233.315
30.65	1017.58	235.48
30.75	961.987	232.903
30.85	981.323	240.103
30.95	1001.63	238.406
31.05	1024.35	246.388
31.15	998.243	240.011
31.25	999.209	230.286
