binRange along x axis (ANG)	 density (g/L)	 temperature (K)
31.35	980.84	241.335
31.45	1014.68	235.257
31.55	1002.11	240.184
31.65	1009.36	244.451
31.75	1017.1	240.779
31.85	1009.36	235.942
31.95	1002.59	230.692
32.05	1005.98	234.392
32.15	1034.98	236.692
32.25	991.475	238.189
32.35	991.475	232.625
32.45	994.859	241.891
32.55	961.02	236.056
32.65	1016.61	230.295
32.75	1040.78	237.056
32.85	996.309	242.824
32.95	974.555	235.525
33.05	1009.36	234.691
33.15	1017.1	241.836
33.25	982.29	234.777
33.35	1005.01	235.285
33.45	999.693	234.024
33.55	965.854	239.354
33.65	1005.49	233.704
33.75	1057.22	234.065
33.85	1000.66	233.175
33.95	999.693	234.881
34.05	969.721	237.043
34.15	1000.66	237.753
34.25	1013.23	233.892
34.35	1009.36	240.32
34.45	986.641	244.061
34.55	958.12	236.314
34.65	957.153	238.042
34.75	1011.78	238.011
34.85	1043.68	230.689
34.95	1011.78	239.086
35.05	1007.43	236.598
35.15	1009.36	226.465
35.25	1020	228.597
35.35	1036.43	234.061
35.45	993.408	233.305
35.55	993.408	230.449
35.65	1008.39	232.878
35.75	953.769	236.368
35.85	1005.49	229.879
35.95	1018.06	237.181
36.05	1003.08	237.35
36.15	1002.11	236.585
36.25	1033.05	236.625
36.35	1013.23	238.696
36.45	1016.61	236.251
36.55	1025.31	237.245
36.65	1033.05	239.948
36.75	952.319	237.98
36.85	971.655	233.686
36.95	987.608	242.281
37.05	995.826	235.604
37.15	997.759	229.276
37.25	1031.11	242.375
37.35	955.702	232.118
37.45	986.641	240.064
37.55	1018.06	241.311
37.65	1011.29	237.27
37.75	1029.18	231.262
37.85	987.608	229.14
37.95	996.792	235.436
38.05	1005.98	235.985
38.15	1014.68	233.962
38.25	1024.83	232.969
38.35	1018.06	231.394
38.45	1015.65	236.223
38.55	1003.56	237.528
38.65	998.726	232.652
38.75	990.025	241.747
38.85	1004.53	238.007
38.95	989.541	237.53
39.05	1028.7	232.653
39.15	994.375	239.887
39.25	1001.14	239.793
39.35	1000.18	236.081
39.45	1021.93	238.661
39.55	1008.39	244.517
39.65	975.039	235.592
39.75	997.276	240.349
39.85	1017.58	237.361
39.95	1006.94	241.164
40.05	964.887	225.229
40.15	1020.96	235.553
40.25	990.025	235.276
40.35	992.925	242.283
40.45	1053.83	234.334
40.55	1010.81	232.628
40.65	1006.46	232.004
40.75	989.541	235.229
40.85	991.958	239.099
40.95	1023.38	230.801
41.05	994.859	241.611
41.15	1034.01	236.838
41.25	997.276	237.678
41.35	1006.94	237.655
41.45	994.375	235.541
41.55	984.224	232.404
41.65	983.74	242.148
41.75	993.408	229.825
41.85	973.589	238.235
41.95	992.925	242.344
42.05	1025.8	237.895
42.15	986.641	224.715
42.25	1003.08	234.239
42.35	972.138	240.312
42.45	1022.9	236.357
42.55	1068.34	233.85
42.65	979.39	240.658
42.75	998.726	236.773
42.85	1048.03	239.82
42.95	1032.08	236.24
43.05	976.489	238.502
43.15	985.191	240.704
43.25	986.641	234.629
43.35	994.859	238.689
43.45	1015.16	232.806
43.55	992.442	236.421
43.65	1006.94	232.882
43.75	987.124	240.638
43.85	1026.76	242.389
43.95	993.408	238.478
44.05	974.072	235.587
44.15	987.124	239.363
44.25	1017.1	231.015
44.35	1003.56	235.792
44.45	994.375	237.278
44.55	991.475	239.132
44.65	1034.5	236.347
44.75	1009.36	236.562
44.85	965.854	243.336
44.95	1058.67	230.913
45.05	1016.13	239.381
45.15	1043.68	227.577
45.25	999.209	241.115
45.35	1004.04	231.155
45.45	976.489	235.269
45.55	989.541	239.778
45.65	955.219	234.388
45.75	996.309	236.596
45.85	1017.1	245.336
45.95	1009.36	234.091
46.05	985.191	240.095
46.15	976.973	235.418
46.25	1045.13	234.138
46.35	1013.23	238.35
46.45	1003.56	237.3
46.55	1006.46	236.307
46.65	965.371	243.714
46.75	974.555	239.956
46.85	983.257	237.599
46.95	994.375	237.14
47.05	998.243	238.362
47.15	1010.33	235.424
47.25	1022.9	234.11
47.35	1034.5	235.609
47.45	1008.39	238.26
47.55	1037.88	239.235
47.65	1006.94	235.781
47.75	1005.98	247.285
47.85	978.423	231.231
47.95	1006.94	239.077
48.05	1007.43	233.503
48.15	973.589	230.855
48.25	1011.78	239.097
48.35	968.271	237.562
48.45	1053.83	239.508
48.55	1010.33	234.754
48.65	978.423	233.713
48.75	1007.43	230.089
48.85	993.892	240.592
48.95	1003.56	236.548
49.05	987.608	244.454
49.15	1003.08	237.69
49.25	999.209	232.985
49.35	1025.8	238.66
49.45	1028.7	235.835
49.55	1024.83	236.149
49.65	966.821	238.182
49.75	983.257	238.308
49.85	1023.38	237.54
49.95	1005.49	229.342
50.05	989.541	233.944
50.15	997.759	246.808
50.25	1005.98	238.367
50.35	1012.74	238.733
50.45	983.74	234.595
50.55	998.243	233.07
50.65	1018.06	231.319
50.75	1002.11	236.48
50.85	992.442	237.711
50.95	1019.03	234.989
51.05	1027.73	234.333
51.15	963.92	227.281
51.25	1008.39	234.455
51.35	972.622	236.418
51.45	1022.41	238.308
51.55	1018.06	234.299
51.65	986.157	242.461
51.75	1014.2	242.619
51.85	968.271	237.192
51.95	1016.13	235.671
52.05	1007.43	224.78
52.15	982.29	239.503
52.25	995.826	230.973
52.35	990.991	236.456
52.45	1023.86	234.619
52.55	1055.29	234.114
52.65	1018.06	234.302
52.75	962.47	241.324
52.85	997.759	230.925
52.95	990.991	234.529
53.05	978.423	231.65
53.15	993.408	243.867
53.25	971.655	236.677
53.35	1021.93	236.395
53.45	1025.8	231.449
53.55	1009.36	246.302
53.65	1007.91	230.449
53.75	1049.97	241.291
53.85	988.091	232.488
53.95	1010.81	241.734
54.05	1015.16	239.89
54.15	973.589	236.394
54.25	1011.29	239.638
54.35	1019.51	237.785
54.45	1002.11	240.243
54.55	999.209	236.914
54.65	985.191	228.068
54.75	1002.11	234.396
54.85	961.987	229.458
54.95	1018.06	234.589
55.05	1020	235.436
55.15	988.574	233.523
55.25	988.574	235.999
55.35	993.408	232.954
55.45	986.157	240.23
55.55	1020	236.553
55.65	1024.35	235.238
55.75	1038.37	240.741
55.85	1002.11	235.192
55.95	1003.56	236.626
56.05	1025.31	240.095
56.15	1042.23	230.833
56.25	982.29	234.088
56.35	1018.55	231.224
56.45	978.906	237.352
56.55	991.958	237.043
56.65	959.57	235.651
56.75	997.759	232.594
56.85	980.84	239.335
56.95	1013.23	237.775
57.05	1014.2	240.616
57.15	994.375	234.844
57.25	996.309	233.998
57.35	962.47	235.87
57.45	1001.14	233.684
57.55	1012.26	237.011
57.65	1036.92	239.688
57.75	1006.94	239.255
57.85	1003.08	242.502
57.95	984.224	238.849
58.05	980.84	240.944
58.15	976.006	242.976
58.25	993.408	246.084
58.35	980.356	230.673
58.45	1015.16	236.735
58.55	1010.33	242.151
58.65	1032.56	229.89
58.75	1070.75	233.968
58.85	982.29	238.173
58.95	972.138	232.636
59.05	1049.48	238.988
59.15	1016.13	242.027
59.25	1023.86	232.534
59.35	1039.33	231.795
59.45	1040.3	234.208
59.55	997.276	238.438
59.65	1008.39	239.242
59.75	1062.54	235.46
59.85	1021.45	233.525
59.95	987.124	241.428
60.05	1016.13	238.339
60.15	1022.41	237.643
60.25	998.726	233.111
60.35	981.807	236.424
60.45	1009.36	243.195
60.55	1008.39	236.289
60.65	1017.58	239.594
60.75	1029.66	230.568
60.85	1016.61	234.315
60.95	993.892	240.114
61.05	987.608	239.663
61.15	994.375	245.742
61.25	1019.03	239.938
61.35	950.385	243.307
61.45	976.489	234.582
61.55	1004.04	238.582
61.65	1000.66	232.148
61.75	1046.58	237.357
61.85	1021.45	235.824
61.95	1044.17	235.167
62.05	1023.86	239.14
62.15	1021.45	230.895
62.25	988.091	239.016
62.35	986.157	243.236
62.45	942.65	247.748
62.55	994.859	240.834
62.65	985.191	240.379
62.75	927.665	239.961
62.85	952.319	241.591
62.95	868.205	233.831
63.05	884.641	237.265
63.15	852.253	236.499
63.25	911.229	232.926
63.35	787.476	233.579
63.45	800.044	242.965
63.55	816.964	240.209
63.65	739.135	235.438
63.75	692.727	239.803
63.85	703.846	239.154
63.95	630.851	244.26
64.05	627.95	243.102
64.15	571.875	238.368
64.25	535.135	231.323
64.35	534.652	243.922
64.45	485.344	239.308
64.55	454.406	239.754
64.65	420.567	240.979
64.75	406.065	241.436
64.85	383.344	238.511
64.95	309.866	241.959
65.05	298.264	236.508
65.15	274.577	245.019
65.25	253.307	228.142
65.35	204.966	237.366
65.45	208.35	222.429
65.55	172.094	232.857
65.65	140.189	213.447
65.75	132.938	238.568
65.85	120.853	256.07
65.95	93.2982	240.42
