5.04999	0	0	nan	
5.14996	0	0	nan	
5.24993	0	0	nan	
5.34991	0	0	nan	
5.44988	0	0	nan	
5.54985	0	0	nan	
5.64983	0	0	nan	
5.7498	0	0	nan	
5.84977	0	0	nan	
5.94975	0	0	nan	
6.04972	0.0066927	7.52929	250.752	
6.14969	0.25974	64.0259	232.944	
6.24967	2.70959	-10.5896	236.767	
6.34964	8.19218	251.722	234.73	
6.44961	9.71907	-308.408	236.673	
6.54959	6.09736	55.7725	237.219	
6.64956	2.38706	118.666	239.191	
6.74953	0.693491	-292.644	238.479	
6.84951	0.176878	135.173	241.913	
6.94948	0.0337822	13.0954	249.669	
7.04945	0.00987969	10.9651	209.048	
7.14942	0.003187	-1.67128	251.677	
7.2494	0.0003187	0.56243	85.794	
7.34937	0	0	nan	
7.44934	0	0	nan	
7.54932	0	0	nan	
7.64929	0	0	nan	
7.74926	0	0	nan	
7.84924	0	0	nan	
7.94921	0	0	nan	
8.04918	0	0	nan	
8.14916	0	0	nan	
8.24913	0	0	nan	
8.3491	0	0	nan	
8.44908	0	0	nan	
8.54905	0	0	nan	
8.64902	0.0022309	1.76181	146.555	
8.749	0.0481237	-58.4383	253.244	
8.84897	0.29161	43.9267	241.092	
8.94894	1.04597	127.655	236.732	
9.04892	2.32045	183.042	237.227	
9.14889	3.53757	-372.097	237.244	
9.24886	4.1925	169.576	238.534	
9.34884	4.11537	9.39121	236.866	
9.44881	3.88176	-137.063	237.535	
9.54878	3.3387	132.439	236.028	
9.64876	2.7252	26.8376	239.238	
9.74873	2.04255	259.596	233.849	
9.8487	1.33185	-224.524	237.847	
9.94868	0.78687	-229.682	235.701	
10.0486	0.38977	-234.24	236.091	
10.1486	0.158394	-45.721	243.984	
10.2486	0.0557725	-41.8517	218.123	
10.3486	0.0175285	-3.94831	229.108	
10.4485	0.0035057	17.298	233.359	
10.5485	0.0015935	-7.72139	147.891	
10.6485	0.0003187	0.853508	221.623	
10.7485	0.000956099	3.40859	62.0676	
10.8484	0	0	nan	
10.9484	0.0003187	-3.46846	166.933	
11.0484	0	0	nan	
11.1484	0	0	nan	
11.2483	0.000956099	-1.76572	167.383	
11.3483	0.0003187	-4.0268	206.936	
11.4483	0.003187	-0.352968	282.88	
11.5482	0.0114732	19.3576	221.594	
11.6482	0.0379253	-19.101	248.533	
11.7482	0.129073	14.7539	248.492	
11.8482	0.379571	36.8663	245.994	
11.9481	0.922955	-92.4087	236.707	
12.0481	1.74042	-56.068	234.367	
12.1481	2.60951	-147.705	236.389	
12.2481	3.02542	-430.117	236.209	
12.348	2.91833	266.53	236.993	
12.448	2.24046	282.698	239.227	
12.548	1.53932	190.707	241.488	
12.648	1.06733	122.727	235.372	
12.7479	0.998486	-133.008	241.427	
12.8479	1.25249	57.9916	240.863	
12.9479	1.85165	264.932	236.927	
13.0478	2.46897	49.0761	237.759	
13.1478	2.85523	66.4096	236.247	
13.2478	2.75038	113.139	236.631	
13.3478	2.22516	172.448	235.723	
13.4477	1.52052	-196.455	231.932	
13.5477	0.929966	-63.0931	238.754	
13.6477	0.488248	-65.769	229.592	
13.7477	0.226914	27.5583	244.865	
13.8476	0.0873237	-20.2856	233.069	
13.9476	0.0341009	-20.5569	241.33	
14.0476	0.00892359	6.7593	261.951	
14.1476	0.0028683	-11.3154	347.274	
14.2475	0.0006374	-1.02952	129.998	
14.3475	0.0003187	0.876258	143.882	
14.4475	0	0	nan	
