5.04999	0	0	nan	
5.14996	0	0	nan	
5.24993	0	0	nan	
5.34991	0	0	nan	
5.44988	0	0	nan	
5.54985	0	0	nan	
5.64983	0	0	nan	
5.7498	0	0	nan	
5.84977	0	0	nan	
5.94975	0	0	nan	
6.04972	0.00545525	-4.74216	225.081	
6.14969	0.270035	49.5133	243.941	
6.24967	2.77525	125.123	235.106	
6.34964	8.0979	-57.1246	237.278	
6.44961	9.62852	83.5717	236.843	
6.54959	6.03067	-304.141	236.633	
6.64956	2.45455	402.216	237.941	
6.74953	0.757021	-52.0817	237.497	
6.84951	0.202579	22.946	239.997	
6.94948	0.0497267	-17.4352	219.96	
7.04945	0.013743	-16.7745	243.227	
7.14942	0.00304235	-2.42576	229.493	
7.2494	0.000524543	-1.73443	341.125	
7.34937	0.000104909	-0.926626	636.548	
7.44934	0.000104909	1.51798	305.349	
7.54932	0	0	nan	
7.64929	0	0	nan	
7.74926	0	0	nan	
7.84924	0	0	nan	
7.94921	0	0	nan	
8.04918	0	0	nan	
8.14916	0	0	nan	
8.24913	0	0	nan	
8.3491	0	0	nan	
8.44908	0	0	nan	
8.54905	0.000419635	1.60889	304.233	
8.64902	0.00461598	8.10054	198.955	
8.749	0.0493071	1.48912	211.616	
8.84897	0.297311	-9.88368	236.849	
8.94894	1.05129	-61.7125	239.713	
9.04892	2.36212	-198.055	239.166	
9.14889	3.67506	224.881	236.768	
9.24886	4.35948	97.2653	238.217	
9.34884	4.32517	97.9362	236.581	
9.44881	3.72216	-184.206	236.617	
9.54878	3.01424	-2.94382	237.293	
9.64876	2.33789	-199.507	237.063	
9.74873	1.70634	-76.7004	234.323	
9.8487	1.2096	65.7122	234.206	
9.94868	0.830037	8.05529	235.926	
10.0486	0.525278	29.4459	235.32	
10.1486	0.325007	-33.1586	233.508	
10.2486	0.190619	33.0506	231.526	
10.3486	0.122848	-51.5137	230.145	
10.4485	0.0750097	0.391634	245.592	
10.5485	0.0428027	13.6832	241.456	
10.6485	0.0270664	-17.0349	259.73	
10.7485	0.0173099	3.76929	257.995	
10.8484	0.0124841	6.38884	245.497	
10.9484	0.0112252	3.96939	230.574	
11.0484	0.0129038	4.54197	226.148	
11.1484	0.017205	-13.1128	239.429	
11.2483	0.0280106	-13.727	248.915	
11.3483	0.0475236	-21.8908	227.98	
11.4483	0.0779471	23.8218	238.718	
11.5482	0.143095	22.8652	238.38	
11.6482	0.256082	-13.1248	236.93	
11.7482	0.47639	3.99854	238.567	
11.8482	0.849655	116.382	234.837	
11.9481	1.3421	199.684	234.994	
12.0481	1.88416	-130.327	238.104	
12.1481	2.35216	97.9093	237.312	
12.2481	2.59418	170.865	237.115	
12.348	2.52851	-194.328	238.111	
12.448	2.25921	176.262	237.51	
12.548	1.91637	120.24	239.224	
12.648	1.53492	23.4678	236.269	
12.7479	1.28052	198.416	238.932	
12.8479	1.05423	-40.1946	237.618	
12.9479	0.955403	-64.042	233.87	
13.0478	0.936205	72.6938	235.038	
13.1478	0.936729	200.694	233.711	
13.2478	0.980581	-54.8728	237.393	
13.3478	1.01636	46.2199	236.056	
13.4477	1.05465	161.958	236.792	
13.5477	1.03786	0.573661	235.786	
13.6477	1.00933	-162.559	235.662	
13.7477	0.972293	-34.7364	235.032	
13.8476	0.898018	75.9151	237.702	
13.9476	0.830877	-67.4045	239.494	
14.0476	0.765099	-73.1722	236.235	
14.1476	0.676136	70.2969	235.305	
